,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
4,0.8161,0.720479168583572,0.03135398787878789,0.8541414141414141,0.1702091710173644,0.5660934213991481,0.13095340049450996,0.8133335100517337,0.002766489948266282,GPcalib,ImageNet,senet154,1000,50000,1000,10000
5,0.8086,0.7378830515893368,0.032709002020202015,0.26517127799736495,0.18017675631439298,0.5756761002239655,0.11801326574251221,0.8233588789034717,0.014758878903471648,GPcalib,ImageNet,senet154,1000,50000,1000,10000
6,0.8098,0.7406538874997761,0.026828875757575758,0.8641313131313131,0.17662425828057704,0.5656505100200675,0.13384567939366754,0.8089984958328248,0.0008015041671751155,GPcalib,ImageNet,senet154,1000,50000,1000,10000
7,0.8115,0.7337097497730347,0.03291715050505051,0.1878403437358661,0.17998299452613095,0.5633385212327208,0.1282965286675932,0.8135766782386159,0.0020766782386159865,GPcalib,ImageNet,senet154,1000,50000,1000,10000
8,0.8063,0.7371401963586757,0.030127264646464653,0.17647568710359407,0.18393917057560874,0.553754310793366,0.13158701982864707,0.8074635959128368,0.0011635959128368512,GPcalib,ImageNet,senet154,1000,50000,1000,10000
9,0.8104,0.7321216211409538,0.030562994949494954,0.3396565656565656,0.17188457698318285,0.566715223945322,0.13136821858450107,0.8113884021191533,0.0009884021191533948,GPcalib,ImageNet,senet154,1000,50000,1000,10000
0,0.8332,0.6512280717453169,0.02625492727272727,0.2857113997113997,0.16441698338901845,0.5807725806415713,0.12265267205696913,0.8278786600931475,0.005321339906852615,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
1,0.8224,0.6966223271964734,0.02685187575757576,0.36413131313131314,0.16552548276362358,0.5751984484822007,0.1352674110621357,0.8133113255929384,0.009088674407061556,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
2,0.8234,0.6758948578710913,0.02627919494949496,0.5208080808080808,0.17095154278699826,0.5706505237788629,0.1264760184629194,0.8200365288969793,0.0033634711030206405,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
3,0.8336,0.6563148082161959,0.027293238383838382,0.36413131313131314,0.1530717090433509,0.5994372400664181,0.11670911106303783,0.8360576417649037,0.002457641764903623,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
