n_samples_queried	n_samples	error	log-loss	$\text{ECE}_1$	MCE	sharpness	overconfidence	underconfidence	$\frac{o(f)}{u(f)}$	$\frac{\text{accuracy}}{\text{error}}$	$\abs{o(f) \mathbb{P}(\hat{y} \neq y) -u(f) \mathbb{P}(\hat{y} = y)}$	$avg. confidence	calibration_method	cv_run
4716	14750	0.0943894389438944	1.358823335681781	0.07249053794268309	0.7039898989898989	0.11631232841265811	0.6229086233761445	0.13823830468626214	4.506049352890017	9.594405594405593	0.06639407319258282	0.8392164878635228		0
4791	15000	0.0943894389438944	1.3591958055476323	0.07401535709126464	0.330959595959596	0.1164830639400351	0.6207795533619855	0.13882035667884407	4.4718193225661915	9.594405594405593	0.0671221473482575	0.8384884137078481		0
4855	15250	0.09449944994499448	1.358803621705296	0.07361676723227872	0.330959595959596	0.1159872565871935	0.6214698282027478	0.13809980041868145	4.500150082176936	9.582072176949943	0.06632088831903264	0.8391796617359728		0
4929	15500	0.09482948294829485	1.3586454075048655	0.07297036925914807	0.330959595959596	0.11651961279890527	0.6212221182128673	0.13731508525577246	4.524063157778597	9.545243619489556	0.06538339445379582	0.8397871225979092		0
5001	15750	0.09504950495049502	1.3597031581785564	0.07283783933948945	0.3396969696969697	0.11596611327919522	0.6210069918848627	0.13785399252394204	4.504816875557727	9.520833333333336	0.06572463162963982	0.8392258634198652		0
500	500	0.1234323432343234	1.3834968492475654	0.05257255725572552	0.7039898989898989	0.16326748859330267	0.5944709599455604	0.13274718241040775	4.478219041272489	7.101604278074869	0.042984943056898844	0.8335827137087778	TemperatureScaling	0
600	836	0.1234323432343234	0.4899620271126017	0.06351936304741579	0.7738888888888888	0.14863279562257228	0.5857294451722418	0.14583558095091886	4.0163685799651985	7.101604278074869	0.05553679554825815	0.8210308612174184	TemperatureScaling	0
711	1086	0.12156215621562161	0.4797077441370731	0.060023530130790814	0.7651515151515151	0.14302547739673355	0.5959149791791494	0.14232943495983705	4.186870968379144	7.226244343891399	0.052586852162963535	0.825850991621415	TemperatureScaling	0
806	1336	0.11573157315731575	0.4700666308823386	0.06520041448589298	0.7913636363636364	0.14158977144238413	0.5930833557711772	0.1472935586294414	4.026539661949822	7.6406844106463865	0.06160857359649852	0.8226598532461857	TemperatureScaling	0
898	1586	0.11551155115511547	0.46790208184416315	0.06800073896278512	0.25899881164587035	0.13996437912626108	0.5922749259107735	0.14755250916838175	4.01399426718586	7.65714285714286	0.06209389455527804	0.8223945542896064	TemperatureScaling	0
1004	1836	0.1107810781078108	0.45541102198102673	0.06937836005822798	0.3515656565656565	0.13921231648720228	0.5895075007736365	0.1469189201404144	4.012468239013927	8.026812313803376	0.06533680728447938	0.8238821146077098	TemperatureScaling	0
1121	2086	0.11122112211221125	0.45532458699340383	0.06596750230578607	0.7564141414141414	0.13486329106829595	0.5998965251213183	0.14383379311930064	4.170762044937129	7.991097922848662	0.06111527257570702	0.8276636053120817	TemperatureScaling	0
