,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,ECE_15bins,ECE_15bins,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference,brier_score,brier_score,cal_time,cal_time,fit_time,fit_time
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotonic,PCam,random_forest,2,10000,1000,9000,0.8472888888888889,0.0015610133531185912,0.37450159219410584,0.02088593024197057,0.0232932985409652,0.005239487045751075,0.022024761904761898,0.004771495471582521,0.09893881014973364,0.03939026751666677,0.3632585006816352,0.03615394528479964,0.7101519459977238,0.011336192001944138,0.11236509458812563,0.004713963148916256,0.8605265931372221,0.005179942372993081,0.013237704248333242,0.005844890892816593,0.10636042763584337,0.0010063869361467421,0.000434422492980957,2.2404144811924416e-05,0.0006583452224731446,6.218354402417327e-05
Isotonic,PCam,1layer_NN,2,10000,1000,9000,0.6504333333333333,0.0019319350697822523,0.6595889657001177,0.024044155170225387,0.02970712570145906,0.009167701148515194,0.026210767195767204,0.007858205311462708,0.8796767676767676,0.12161956446052428,0.10107034000655982,0.03182590501376887,0.6402052888984725,0.018544014822687773,0.3374114781304696,0.016518574201001678,0.6547639137610172,0.017094143394650117,0.015468556014720613,0.009968729470282777,0.22383285387736263,0.00096367977824755,0.00036389827728271483,2.307069877711625e-05,0.000667738914489746,6.964081585668786e-05
Beta,PCam,AdaBoost,2,10000,1000,9000,0.7609555555555555,0.0029699916633064614,0.48128358171705876,0.002258627688581406,0.03972945791245792,0.00238512489116098,0.02386701058201058,0.0039941031073391035,0.18485672247423496,0.030668836413551937,0.31805243221420276,0.010802646554143492,0.6759880157200742,0.011843253305047994,0.20791645906418132,0.012007687531415704,0.7643238385638802,0.011845236767200215,0.009785535941998432,0.008080514322012766,0.1596825780439946,0.0010140961371246,0.0008489370346069336,0.0003746888543624399,0.0038345813751220702,0.0024150120893291446
Beta,PCam,XGBoost,2,10000,1000,9000,0.8068222222222223,0.0014751717483882383,0.4134320493514034,0.002426035715952831,0.03564323569023568,0.002819012902937615,0.01885039682539682,0.004441580271030495,0.19223268362931215,0.031218995528179073,0.3595845828027441,0.004490286167399953,0.6930504624838745,0.008505309289262382,0.16304751299360842,0.008019062395298392,0.809152783467894,0.00791088146136092,0.007857046889287627,0.004431341342180238,0.13355123401434105,0.0007555169550578538,0.0010364294052124024,7.173238542650398e-05,0.001902008056640625,8.86487742942951e-05
Beta,PCam,mondrian_forest,2,10000,1000,9000,0.7975555555555555,0.0016588293093747213,0.40313322474464286,0.001358212487475306,0.03492587494096453,0.003990249611886943,0.024967358627745788,0.005844980181949476,0.1512652931058657,0.011253890314494207,0.4935048113278729,0.008220368159138527,0.6426550075496489,0.0073893904318159676,0.1797404613067804,0.006816764980781748,0.7843035668693024,0.006789386306605173,0.013251988686253241,0.007554045107787267,0.13517329259235986,0.00034292964572309295,0.0051402091979980465,6.299989585251547e-05,0.0025036096572875976,8.460590092247704e-05
Beta,PCam,random_forest,2,10000,1000,9000,0.8482444444444445,0.0016403686560789792,0.3502562165137375,0.003437143256816245,0.029251116459633224,0.005294325255101985,0.02257238005155829,0.005181075378564509,0.1635704932174149,0.028654113392097776,0.36668991242455795,0.023025915731103543,0.698970706127217,0.011714268122901845,0.12264287496820787,0.006773485596561142,0.8502849272848826,0.007156102029484258,0.006366715023255723,0.0024424625586941507,0.10575836929650868,0.0010631611045839957,0.002664613723754883,0.0002513229590542135,0.0025835752487182615,0.0005807715099689506
Beta,PCam,1layer_NN,2,10000,1000,9000,0.6487,0.003117739851761961,0.6428885023824824,0.0005863424108350687,0.050054172839506174,0.004854102661247316,0.03172425925925927,0.006699557745219897,0.9247171717171717,0.013157342758672958,0.09056025500241406,0.010996438304019947,0.615755481257757,0.00768822845727812,0.364852031921288,0.008268495040691048,0.6283283195759022,0.00795475631960883,0.02037168042409787,0.00918229637522271,0.2251873271938984,0.0002480946336836655,0.0007135868072509766,2.3844771736955625e-05,0.0023134469985961912,9.49825394393447e-05
BBQ,PCam,AdaBoost,2,10000,1000,9000,0.7638333333333334,0.0032106005831078295,0.4853350385734624,0.003124234740908098,0.03300806621773288,0.007696688571939117,0.026664682539682526,0.007401817811325549,0.09894805370030066,0.02526445465544671,0.32176581835631113,0.03972655301616941,0.6749833985966218,0.01326405652069537,0.21474030234211874,0.011922816101707045,0.7592055428805888,0.011634721889968438,0.010801877921897785,0.008685420746523132,0.160880430841029,0.0006383653012414671,0.1477794885635376,0.002994460443237457,0.09225842952728272,0.0008314385667131987
BBQ,PCam,XGBoost,2,10000,1000,9000,0.8019666666666667,0.0065984264657884175,0.4235013000485764,0.003105593551246761,0.031228795735129065,0.010974789782024654,0.030727433862433852,0.008911232382168854,0.12995290425613487,0.05406898707935629,0.3435250350413929,0.055173713265392686,0.698742164763236,0.016368542566904648,0.16300320664054133,0.009694395443696512,0.8095380045638099,0.008973026387935486,0.012122534577105173,0.006219554096328163,0.13642886250838493,0.000705651755897068,0.14821908473968506,0.0033224941922245102,0.0927781343460083,0.0005469023341749503
BBQ,PCam,mondrian_forest,2,10000,1000,9000,0.795,0.0026651230100008987,0.4784130734721151,0.021083811710880616,0.06425149560588153,0.016132926296794626,0.057410347702486667,0.014017961611488078,0.9023082433392325,0.2879092999295334,0.28349466179246263,0.05323817384074612,0.6678833686909784,0.021997721654062354,0.2211270209401801,0.02225955100854473,0.7561228043511925,0.02120352184574053,0.041093601065935445,0.01673949794143466,0.1464535267812031,0.003079123734804524,0.14690876007080078,0.004855031754209093,0.08909363746643066,0.0008421785237133869
BBQ,PCam,random_forest,2,10000,1000,9000,0.8110444444444443,0.004092952891798957,0.5112073943614617,0.056947317126185254,0.05991528619528619,0.00843630236523898,0.049826269841269845,0.008557060062262232,0.1968826528185242,0.05084585757728812,0.35383927251943154,0.05292597781307686,0.7627924116560365,0.013969994730409786,0.12458153373749728,0.005276242383168325,0.8540964060499834,0.004695988799024258,0.04305196160553883,0.005355480963939275,0.14266122781842155,0.0018725173438227105,0.15253992080688478,0.005884375138866962,0.09110105037689209,0.002051703423832817
BBQ,PCam,1layer_NN,2,10000,1000,9000,0.6457777777777778,0.008153701811054521,0.6410415687534547,0.0028517167240881738,0.02958274859708192,0.01016472765282145,0.021923121693121692,0.006329895400660926,0.08827819558959296,0.04353828628060685,0.07435829430839,0.04346724737094783,0.6351266152589625,0.02135743234807897,0.3451490453198141,0.017540255718320606,0.6477924602715734,0.018221148821829174,0.016216539231740126,0.010276755585666968,0.22463169092101345,0.0012011385729832052,0.1557307720184326,0.003471350620290034,0.09633984565734863,0.0016350555301379468
Temp,PCam,AdaBoost,2,10000,1000,9000,0.7585888888888889,0.0021760953440743643,0.4818563073938248,0.002266581364533274,0.03811759259259259,0.0033485235960296223,0.02402203703703703,0.004422383008003135,0.23088584398409848,0.03989981501199604,0.3216358488296476,0.011018695194009701,0.6727546929675381,0.010502902245838367,0.20893334234432243,0.011988077210306088,0.7625010784136728,0.011433865885481318,0.009948480110579267,0.008774136024722323,0.1600595489804997,0.0010142697959684868,0.0008507966995239258,3.789101434129585e-05,0.009568238258361816,0.006860137677502598
Temp,PCam,XGBoost,2,10000,1000,9000,0.8085777777777778,0.0015615405147320091,0.4172637705981709,0.0017982536243859014,0.03989114814814816,0.002027550721076291,0.024463597883597876,0.0018015306751139055,0.21985917464921814,0.036347831326231116,0.2925494369076342,0.005254965383529078,0.7154109171931196,0.007367387631184301,0.15823024328279323,0.008090596031365914,0.817580290311301,0.007755579720111469,0.011592563855943523,0.005063931016351294,0.13410035890413172,0.0008719378757017464,0.0008110284805297851,3.3860297667699006e-05,0.006388354301452637,0.00466847539408703
Temp,PCam,mondrian_forest,2,10000,1000,9000,0.7945888888888889,0.0012461738424240127,0.41533999491660695,0.0009486022189844073,0.04270017620650953,0.0012982942927606388,0.029546507936507926,0.002438233603806549,0.15044332946650532,0.02010841814944674,0.37388903255449346,0.003394861415942223,0.6800118702246217,0.004699752653845333,0.16836266265487826,0.0050973526243222045,0.8004911270424442,0.004851007029857039,0.00718382672962734,0.004056769551477285,0.13715170299700405,0.0005787240416031106,0.0008075952529907227,2.343655845276994e-05,0.004102087020874024,0.0002631235417974051
Temp,PCam,random_forest,2,10000,1000,9000,0.8486666666666668,0.000737027731190098,0.33674470808890417,0.0021537727774691984,0.020911534866948345,0.0012852497935546081,0.01904956088230286,0.0009851790125047994,0.1027247858018073,0.015063475807278228,0.35359255617250945,0.002175839154197309,0.7093565311136838,0.007001517982682365,0.11729434012686177,0.005251936729462174,0.8564721218705668,0.005449129409762474,0.007832029610382932,0.005734637360487161,0.10609220681121263,0.0006426621127668486,0.0008066415786743164,4.025738479830268e-05,0.008454847335815429,0.006994900689214198
Temp,PCam,1layer_NN,2,10000,1000,9000,0.5925,0.0007720245772472508,0.6650609467918016,0.00031638736196078963,0.05420576094276095,0.0015069807829354354,0.05195230158730159,0.003309701849365602,0.15092380197451358,0.06568422388905103,0.03721157907019107,0.005512545723253051,0.5894815023031159,0.006871290375349827,0.3947528665769428,0.007813244913560589,0.5988220297062798,0.007418462443223461,0.007616734212737314,0.006690249314442425,0.23625374299113894,0.00017215994811695844,0.0007784843444824218,2.3546186898358583e-05,0.002760958671569824,0.0003514395899044736
