,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
8,0.8485555555555555,0.34884189994069903,0.02776590347923681,0.023831665862026296,0.16427738927738933,0.34181970593146627,0.7067950886558078,0.12257905015881032,0.8515806110861147,0.0030250555305591093,0.10602560750896683,Beta,PCam,random_forest,2,10000,1000,9000
9,0.8481111111111111,0.3485683298858063,0.033213456790123455,0.022056563385642,0.15924242424242419,0.3497305675242962,0.7098091882631241,0.12035090719702467,0.8538522984134225,0.00574118730231124,0.10695025143274241,Beta,PCam,random_forest,2,10000,1000,9000
0,0.6492222222222223,0.6425770449208575,0.046751380471380485,0.034441534391534384,0.9207575757575757,0.08359184325188104,0.616288708943382,0.36555878859812124,0.6280737169283817,0.021148505293840658,0.2251360595514134,Beta,PCam,1layer_NN,2,10000,1000,9000
1,0.6493333333333333,0.6424296742780646,0.05212393939393938,0.0307015873015873,0.9306565656565656,0.09241852043314956,0.6189976162728581,0.36151290187611307,0.6316527864881262,0.017680546845207173,0.22491218031311752,Beta,PCam,1layer_NN,2,10000,1000,9000
2,0.6477777777777778,0.6421525539632468,0.04664968574635241,0.02513095238095239,0.9257070707070707,0.09292457079174538,0.6093317322669347,0.3694371326360179,0.6230847897797998,0.02469298799797795,0.22489034745723194,Beta,PCam,1layer_NN,2,10000,1000,9000
3,0.6458888888888888,0.6430115849057747,0.04203349046015713,0.023909788359788364,0.9455050505050505,0.10650425194029946,0.6242728918212636,0.35310565912170666,0.6388838344177651,0.007005054471123706,0.22507348478586114,Beta,PCam,1layer_NN,2,10000,1000,9000
4,0.6526666666666666,0.642483733075269,0.05425144781144781,0.03568359788359789,0.9207575757575757,0.0856535198400979,0.6175553064217907,0.3656266314160252,0.6285318949929761,0.02413477167369041,0.2250030560724093,Beta,PCam,1layer_NN,2,10000,1000,9000
5,0.6486666666666666,0.6440518625519046,0.04573595959595961,0.02755899470899472,0.9405555555555556,0.10100062596065743,0.6290821861531697,0.3517635260571298,0.6415069341660888,0.007159732500577859,0.2255308654505962,Beta,PCam,1layer_NN,2,10000,1000,9000
6,0.6447777777777778,0.6431446283820065,0.05091129068462403,0.028398941798941795,0.9207575757575757,0.09197942179908994,0.6033726112417253,0.37456064900578845,0.6176007546621339,0.027177023115643878,0.22541775531582692,Beta,PCam,1layer_NN,2,10000,1000,9000
7,0.6504444444444445,0.6435802070141282,0.054535510662177315,0.03952513227513229,0.9108585858585858,0.07698360114113388,0.6151828356778907,0.36891203150074053,0.6255282409597009,0.024916203484743493,0.22556563901341403,Beta,PCam,1layer_NN,2,10000,1000,9000
8,0.6444444444444445,0.6429680372073999,0.04952106621773288,0.02727407407407408,0.9306565656565656,0.10202867583898242,0.6162381370966391,0.36104517130496827,0.6308777827933811,0.01356666165106346,0.22528552576727243,Beta,PCam,1layer_NN,2,10000,1000,9000
9,0.6537777777777778,0.642485697526172,0.05802795735129069,0.044617989417989425,0.900959595959596,0.07251751902710359,0.607232786681918,0.3769978276962691,0.6175424605706678,0.036235317207110124,0.2250583582118415,Beta,PCam,1layer_NN,2,10000,1000,9000
