n_samples_queried	n_samples	error	log-loss	ECE	MCE	sharpness	overconfidence	underconfidence	avg_confidence	calibration_method	cv_run
2888	8983	0.09999999999999998	1.355490260145017	0.04232910812214701	0.37464646464646467	0.10738050785531363	0.6585134645841083	0.10711127983654824	0.8694511946055175	GPCalibration	0
2942	9233	0.09922992299229927	1.351517749779665	0.04278570976832472	0.36590909090909096	0.10762453765832784	0.6561795059949848	0.1071283974450829	0.8693846640403893	GPCalibration	0
2995	9483	0.09856985698569853	1.3535728338801516	0.04316193137610612	0.39212121212121215	0.1074456775386769	0.6562492708290453	0.10710264906758693	0.8695709835206841	GPCalibration	0
3199	6749	0.09867986798679873	1.346030151579312	0.036064686612781165	0.6166161616161616	0.1036540301665336	0.6681025769508351	0.09866961911069057	0.8783154919858098	GPCalibration	0
3203	6999	0.09867986798679873	1.345920885674364	0.03672263253511386	0.6166161616161616	0.10361744185024194	0.6680313569640737	0.09867326343710345	0.8783051793021546	GPCalibration	0
3210	7249	0.09911991199119907	1.3462346938566803	0.03656151846681007	0.6166161616161616	0.10342802275540082	0.668630404945159	0.09844201635626126	0.8784702225428124	GPCalibration	0
3218	7499	0.09856985698569853	1.3459078438275451	0.03654687351052309	0.4008585858585859	0.10315313626648892	0.6698763688427984	0.09839891367412522	0.8787600140635166	GPCalibration	0
3224	7749	0.09823982398239828	1.3460331765219813	0.03851448528691247	0.6166161616161616	0.10344081318931189	0.6688135481204838	0.09888119224066409	0.8782971799422297	GPCalibration	0
3227	7999	0.09790979097909791	1.346070110348942	0.03832044437772249	0.3833838383838384	0.10365215624261696	0.6686078253621822	0.09913179787236212	0.8781276371858056	GPCalibration	0
3231	8249	0.09856985698569853	1.346194785540313	0.03842410665751893	0.6166161616161616	0.10359828361779269	0.6675744568820345	0.09878815209371268	0.878182243686515	GPCalibration	0
3237	8499	0.0988998899889989	1.3456820188377876	0.03735947022157732	0.6166161616161616	0.10356585186981128	0.6667304697527769	0.09828233543970115	0.8784774568450116	GPCalibration	0
3240	8749	0.09867986798679873	1.3458709061851462	0.03676458251910711	0.6166161616161616	0.10362388671593692	0.6671381493266582	0.09839910788802983	0.8784641396060928	GPCalibration	0
3242	8999	0.0988998899889989	1.3460909876043752	0.03783822760356052	0.6166161616161616	0.10353279694764042	0.6668869748880449	0.09828409680561793	0.8784913480186508	GPCalibration	0
